data,codice_istat,comune,provincia,colore,label,desc,pgrid
2026-07-14,083046,Mazzarrà Sant'Andrea,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",307079
2026-07-14,083047,Merì,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",304481
2026-07-14,083048,Messina,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",303194
2026-07-14,083049,Milazzo,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",302527
2026-07-14,083050,Militello Rosmarino,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,308358
2026-07-14,083051,Mirto,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,307060
2026-07-14,083052,Mistretta,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312248
2026-07-14,083053,Moio Alcantara,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312933
2026-07-14,083054,Monforte San Giorgio,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",304487
2026-07-14,083055,Mongiuffi Melia,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312944
2026-07-14,083056,Montagnareale,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",305116
2026-07-14,083057,Montalbano Elicona,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,309026
2026-07-14,083058,Motta Camastra,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312940
2026-07-14,083059,Motta d'Affermo,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310292
2026-07-14,083060,Naso,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",305759
2026-07-14,083061,Nizza di Sicilia,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",309697
2026-07-14,083062,Novara di Sicilia,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,309032
2026-07-14,083063,Oliveri,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",305773
2026-07-14,083064,Pace del Mela,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",303832
2026-07-14,083065,Pagliara,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310345
2026-07-14,083066,Patti,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",305117
2026-07-14,083067,Pettineo,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310943
2026-07-14,083068,Piraino,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",304461
2026-07-14,083069,Raccuja,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,307718
2026-07-14,083070,Reitano,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310294
2026-07-14,083071,Roccafiorita,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",311642
2026-07-14,083072,Roccalumera,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310347
2026-07-14,083073,Roccavaldina,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",303836
2026-07-14,083074,Roccella Valdemone,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,311629
2026-07-14,083075,Rodì Milici,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,307732
2026-07-14,083076,Rometta,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",303838
2026-07-14,083077,San Filippo del Mela,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",304482
2026-07-14,083078,San Fratello,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,309005
2026-07-14,083079,San Marco d'Alunzio,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",307057
2026-07-14,083080,San Pier Niceto,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",304486
2026-07-14,083081,San Piero Patti,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,307721
2026-07-14,083082,San Salvatore di Fitalia,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,307061
2026-07-14,083083,Santa Domenica Vittoria,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312278
2026-07-14,083084,Sant'Agata di Militello,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",307705
